page_fault_rate,cpu_util,working_set,label
0.01443612773782521,0.8950951944094222,0.4468345027864957,0
0.18695262359005038,0.940127118313137,0.6336794865565871,0
0.056660411104423325,0.19333033555078405,0.3354040847015005,0
0.12741479110511422,0.5143289775866895,0.3077287796048479,0
0.6142107940343182,0.5107479143380178,0.8848290473359568,1
0.48397385415542304,0.1688841593454753,0.48533167127584087,1
0.9614134974263099,0.3379117040397809,0.9410917118416348,2
0.5233082407627353,0.530745752460737,0.5351082624907729,1
0.2879667634233438,0.7102037512630323,0.7255986458406753,0
0.15095549655460228,0.34154877092991653,0.0654964620392976,0
0.8424582824302165,0.44979736096665945,0.9114150051145211,2
0.4668122206345776,0.05945235366645729,0.13542783924729873,1
0.16224925635977372,0.21197174811837827,0.16863355646439027,0
0.8905053349951221,0.9878445073543732,0.42993230971580576,2
0.8064148906511073,0.058673075416582066,0.9426138650552649,2
0.27084415281506236,0.6669830800261982,0.12456726456242995,0
0.5106119995976165,0.8814162322706721,0.7248319078623688,1
0.14289660616604938,0.6688071818900705,0.04265951748215946,0
0.547690552915393,0.9238739749529702,0.9505169357609468,1
0.081584183113104,0.5169428545261809,0.9368174939994255,0
0.7236335384683861,0.9493998827297611,0.08589600893389027,2
0.4733805479340727,0.28891253324974686,0.7977880171453443,1
0.9968495261237187,0.8596470697096684,0.5968001408403562,2
0.6434769022564997,0.5922444840643257,0.464267570196221,1
0.1663038899719771,0.5575144883501061,0.9969554792582621,0
0.45204070595571666,0.34889883237214636,0.5116309494400139,1
0.1629574671464492,0.618580262835757,0.9123963196436836,0
0.4955761644223833,0.29203360658704447,0.009810301152928136,1
0.36861100731442975,0.6655854782448094,0.37483249722341927,0
0.8238426942138767,0.8889049831747068,0.10467922268314356,2
0.19393322495639576,0.3383092256215602,0.9821450781722106,0
0.35681294582058276,0.8579508627431386,0.16475125630652288,0
0.8855154112384152,0.8844603642223019,0.5120935860511081,2
0.12398125219018641,0.3412873069140613,0.013439731879424377,0
0.5718661094864228,0.8640050530395562,0.2525206474241779,1
0.5138544945734298,0.780862474761436,0.5033342180980096,1
0.05911695026222119,0.7498272330321581,0.7033252491060936,0
0.8413068389591835,0.7838345789157123,0.045805119570746955,2
0.20164244659471642,0.9599235551057984,0.1858740821795044,0
0.8602987034277229,0.6174837327024174,0.7250078813427892,2
0.022878009477355965,0.6128170707275302,0.875326401929168,0
0.13615707761367357,0.3741351293736742,0.6150520407139948,0
0.6971467381477744,0.7611830167914724,0.42922670845465927,1
0.6502783342974734,0.8271088803168504,0.9365618356680752,1
0.6202865736972606,0.5400774497219257,0.9877878738367345,1
